characteristic,reused_rate,control_rate,odds_ratio,p_holm,significant
has_number,0.68,0.179,9.71,0.0005519220400198154,True
has_currency,0.2,0.103,2.19,0.591050960334825,False
has_percent,0.32,0.0,inf,0.0007330781229862083,True
has_definition_cue,0.0,0.051,0.0,0.591050960334825,False
